food1,food2,food3,calories,total_fat,cholesterol,protein,carbohydrates,fiber,sugars
Kachori,,,230.00,12.00,0.00,5.00,26.00,2.00,1.00
Aloo Tikki,,,140.00,6.00,0.00,2.00,20.00,2.00,2.00
Dhokla,,,130.00,6.00,2.00,6.00,16.00,3.00,2.00
Uttapam,,,160.00,6.00,0.00,5.00,22.00,3.00,3.00
Baati,,,270.00,16.00,35.00,4.00,29.00,4.00,0.00
Medu Vada,,,70.00,2.00,0.00,5.00,9.00,3.00,0.00
Misal Pav,,,330.00,8.00,0.00,12.00,52.00,10.00,5.00
Bhelpuri,,,215.00,8.00,0.00,6.00,32.00,5.00,6.00
Bonda,,,120.00,4.00,0.00,4.00,18.00,3.00,2.00
Pav Bhaji,,,400.00,16.00,22.00,11.00,56.00,9.00,11.00
Pakora,,,200.00,10.00,0.00,5.00,22.00,4.00,4.00
Upma,,,300.00,10.00,0.00,7.00,48.00,5.00,7.00
Vada Pao,,,350.00,18.00,0.00,8.00,42.00,4.00,3.00
Samosa,,,189.00,10.00,0.00,3.00,21.00,2.00,1.00
Idli,,,61.00,0.00,0.00,2.00,12.00,1.00,0.00
Poha,,,155.00,6.00,0.00,4.00,22.00,3.00,2.00
Veg Sandwhich,,,150.00,5.00,8.00,4.00,24.00,4.00,4.00
Chicken Lollipop,,,189.00,11.00,84.00,18.00,3.00,1.00,0.00
Chilli Chicken,,,250.00,12.00,100.00,25.00,10.00,1.00,5.00
Chicken 65,,,358.00,9.90,162.00,49.00,14.00,0.60,0.20
Chicken Snadwhich,,,330.00,13.00,60.00,30.00,22.00,2.00,3.00
Lemon Chicken,,,375.00,21.00,132.00,31.00,16.00,1.00,4.00
Chicken Soup,,,160.00,3.00,70.00,26.00,6.00,1.00,2.00
Fish Fry,,,300.00,10.00,50.00,25.00,25.00,2.00,2.00
Egg Toast,,,290.00,13.00,380.00,17.00,22.00,1.00,4.00
Omlette,,,220.00,18.00,385.00,13.00,1.00,0.00,1.00
Egg Paratha,,,224.00,11.20,139.00,9.50,21.60,2.40,1.20
French Toast,,,244.00,11.00,203.00,11.00,25.00,1.00,7.00
