food1,food2,food3,calories,total_fat,cholesterol,protein,carbohydrates,fiber,sugars
Butter Naan,Aloo Gobi,,503.00,24.70,42.00,10.40,61.40,5.50,4.90
Butter Naan,Veg Jhalfrezi,,458.00,21.70,42.00,12.40,55.40,6.50,7.90
Butter Naan,Bhindi Bhaji,,435.00,23.20,42.00,9.90,48.40,4.50,4.40
Butter Naan,Rajma ,,594.00,26.30,42.00,17.00,74.90,11.70,6.40
Butter Naan,Dal Tadka,,563.00,24.70,42.00,17.40,70.40,9.50,3.90
Butter Naan,Dal Makhani,,673.00,30.70,76.00,20.40,79.40,13.50,6.90
Butter Naan,Sambar,,508.00,19.60,42.00,17.10,68.20,7.80,5.80
Butter Naan,Chana Masala,,543.00,22.70,42.00,15.40,70.40,10.50,7.90
Butter Naan,Chhola,,613.00,27.70,47.00,17.40,75.40,10.50,7.90
Butter Naan,Palak with Potato,,523.00,24.70,42.00,11.40,65.40,5.50,3.90
Butter Naan,Lauki Tamatar,,447.00,22.70,42.00,9.40,51.40,3.50,5.90
Butter Naan,Bhindi Masala,,548.00,28.70,42.00,12.40,62.40,8.50,8.90
Butter Naan,Jeera Aloo,,521.00,26.50,42.00,10.10,60.70,4.70,3.10
Butter Naan,Aloo Matar,,539.00,24.70,42.00,12.40,67.40,6.50,5.90
Butter Naan,Aloo Dam,,533.00,24.70,43.00,12.40,66.40,5.50,6.90
Butter Naan,Rogan Josh,,823.00,52.70,163.00,37.40,46.40,3.50,3.90
Butter Naan,Chicken Masala,,623.00,31.70,127.00,35.40,47.40,3.50,4.90
Butter Naan,Tandoori Chicken,,633.00,33.70,157.00,38.40,44.40,2.50,3.90
Butter Naan,Chicken Butte Masala,,703.00,38.70,164.00,35.40,51.40,4.50,6.90
Butter Naan,Tangdi Kebab,,593.00,31.70,132.00,30.40,44.40,2.50,3.90
Butter Naan,Chicken Korma,,711.00,40.20,164.00,34.20,50.90,3.30,6.50
Butter Naan,Chicken Tikka Masala,,635.00,32.70,146.00,34.40,49.40,3.50,5.90
Butter Naan,Chicken Curry,,664.00,33.70,141.00,38.40,50.40,3.50,6.90
Butter Naan,Kadhai Chicken,,633.00,30.70,118.00,35.40,53.40,4.50,7.90
Butter Naan,Murg Musallam,,721.00,34.70,183.00,54.40,47.40,2.50,5.90
Butter Naan,Kudhi,,562.00,26.70,47.00,19.40,61.40,5.50,7.90
Butter Naan,Kadhai Paneer,,583.00,34.70,77.00,15.40,52.40,4.50,7.90
Butter Naan,Matar Paneer,,627.00,38.40,75.00,17.30,56.10,6.20,9.40
Butter Naan,Malai Kofta,,623.00,32.70,80.00,18.40,64.40,5.50,5.90
Butter Naan,Sahi Paneer,,633.00,40.70,107.00,16.40,50.40,3.50,6.90
Butter Naan,Palak Paneer,,593.00,31.70,77.00,22.40,52.40,5.50,5.90
Butter Naan,Paneer Bhurji,,610.00,38.70,87.00,17.40,47.40,3.50,4.90
Butter Naan,Paneer Kofta,,623.00,34.70,92.00,14.40,62.40,3.50,5.90
Butter Naan,Paneer Butter Masala,,627.00,39.70,102.00,16.40,51.40,3.50,6.90
Butter Naan,Fish Curry,,593.00,31.70,102.00,32.40,45.40,3.50,3.90
Butter Naan,Lemon Pepper Fish,,539.00,26.10,87.00,31.00,44.60,1.90,2.10
Butter Naan,Prawn Curry,,533.00,24.70,252.00,32.40,47.40,3.50,4.90
Butter Naan,Fish Tikka Masala,,659.00,37.70,134.00,27.40,50.40,3.50,6.90
Butter Naan,Egg Curry,,543.00,31.70,417.00,19.40,47.40,2.50,4.90
Butter Naan,Egg Masala,,588.00,35.70,369.00,19.40,46.40,2.50,4.90
Butter Naan,Egg Bhurji,,520.00,30.70,369.00,17.40,43.40,2.10,2.90
Butter Naan,Aam Chutney,,417.00,17.10,42.00,8.20,59.40,2.60,19.70
Butter Naan,Coconut Chutney,,423.00,23.70,42.00,8.40,44.40,3.50,2.90
Butter Naan,Rasam,,439.00,19.70,50.00,11.40,54.40,4.50,3.90
Butter Naan,Raita,,463.00,20.70,57.00,16.40,52.40,2.50,12.90
Butter Naan,Kachumber,,373.00,17.00,42.00,8.80,46.90,3.10,1.90
Aloo Paratha,Aloo Gobi,,375.00,14.80,16.00,8.70,54.50,8.90,4.70
Aloo Paratha,Veg Jhalfrezi,,330.00,11.80,16.00,10.70,48.50,9.90,7.70
Aloo Paratha,Bhindi Bhaji,,307.00,13.30,16.00,8.20,41.50,7.90,4.20
Aloo Paratha,Rajma ,,466.00,16.40,16.00,15.30,68.00,15.10,6.20
Aloo Paratha,Dal Tadka,,435.00,14.80,16.00,15.70,63.50,12.90,3.70
Aloo Paratha,Dal Makhani,,545.00,20.80,50.00,18.70,72.50,16.90,6.70
Aloo Paratha,Sambar,,380.00,9.70,16.00,15.40,61.30,11.20,5.60
Aloo Paratha,Chana Masala,,415.00,12.80,16.00,13.70,63.50,13.90,7.70
Aloo Paratha,Chhola,,485.00,17.80,21.00,15.70,68.50,13.90,7.70
Aloo Paratha,Palak with Potato,,395.00,14.80,16.00,9.70,58.50,8.90,3.70
Aloo Paratha,Lauki Tamatar,,319.00,12.80,16.00,7.70,44.50,6.90,5.70
Aloo Paratha,Bhindi Masala,,420.00,18.80,16.00,10.70,55.50,11.90,8.70
Aloo Paratha,Jeera Aloo,,393.00,16.60,16.00,8.40,53.80,8.10,2.90
Aloo Paratha,Aloo Matar,,411.00,14.80,16.00,10.70,60.50,9.90,5.70
Aloo Paratha,Aloo Dam,,405.00,14.80,17.00,10.70,59.50,8.90,6.70
Aloo Paratha,Rogan Josh,,695.00,42.80,137.00,35.70,39.50,6.90,3.70
Aloo Paratha,Chicken Masala,,495.00,21.80,101.00,33.70,40.50,6.90,4.70
Aloo Paratha,Tandoori Chicken,,505.00,23.80,131.00,36.70,37.50,5.90,3.70
Aloo Paratha,Chicken Butte Masala,,575.00,28.80,138.00,33.70,44.50,7.90,6.70
Aloo Paratha,Tangdi Kebab,,465.00,21.80,106.00,28.70,37.50,5.90,3.70
Aloo Paratha,Chicken Korma,,583.00,30.30,138.00,32.50,44.00,6.70,6.30
Aloo Paratha,Chicken Tikka Masala,,507.00,22.80,120.00,32.70,42.50,6.90,5.70
Aloo Paratha,Chicken Curry,,536.00,23.80,115.00,36.70,43.50,6.90,6.70
Aloo Paratha,Kadhai Chicken,,505.00,20.80,92.00,33.70,46.50,7.90,7.70
Aloo Paratha,Murg Musallam,,593.00,24.80,157.00,52.70,40.50,5.90,5.70
Aloo Paratha,Kudhi,,434.00,16.80,21.00,17.70,54.50,8.90,7.70
Aloo Paratha,Kadhai Paneer,,455.00,24.80,51.00,13.70,45.50,7.90,7.70
Aloo Paratha,Matar Paneer,,499.00,28.50,49.00,15.60,49.20,9.60,9.20
Aloo Paratha,Malai Kofta,,495.00,22.80,54.00,16.70,57.50,8.90,5.70
Aloo Paratha,Sahi Paneer,,505.00,30.80,81.00,14.70,43.50,6.90,6.70
Aloo Paratha,Palak Paneer,,465.00,21.80,51.00,20.70,45.50,8.90,5.70
Aloo Paratha,Paneer Bhurji,,482.00,28.80,61.00,15.70,40.50,6.90,4.70
Aloo Paratha,Paneer Kofta,,495.00,24.80,66.00,12.70,55.50,6.90,5.70
Aloo Paratha,Paneer Butter Masala,,499.00,29.80,76.00,14.70,44.50,6.90,6.70
Aloo Paratha,Fish Curry,,465.00,21.80,76.00,30.70,38.50,6.90,3.70
Aloo Paratha,Lemon Pepper Fish,,411.00,16.20,61.00,29.30,37.70,5.30,1.90
Aloo Paratha,Prawn Curry,,405.00,14.80,226.00,30.70,40.50,6.90,4.70
Aloo Paratha,Fish Tikka Masala,,531.00,27.80,108.00,25.70,43.50,6.90,6.70
Aloo Paratha,Egg Curry,,415.00,21.80,391.00,17.70,40.50,5.90,4.70
Aloo Paratha,Egg Masala,,460.00,25.80,343.00,17.70,39.50,5.90,4.70
Aloo Paratha,Egg Bhurji,,392.00,20.80,343.00,15.70,36.50,5.50,2.70
Aloo Paratha,Aam Chutney,,289.00,7.20,16.00,6.50,52.50,6.00,19.50
Aloo Paratha,Coconut Chutney,,295.00,13.80,16.00,6.70,37.50,6.90,2.70
Aloo Paratha,Rasam,,311.00,9.80,24.00,9.70,47.50,7.90,3.70
Aloo Paratha,Raita,,335.00,10.80,31.00,14.70,45.50,5.90,12.70
Aloo Paratha,Kachumber,,245.00,7.10,16.00,7.10,40.00,6.50,1.70
Sattu Paratha,Aloo Gobi,,462.00,15.20,5.00,15.60,70.20,13.30,7.40
Sattu Paratha,Veg Jhalfrezi,,417.00,12.20,5.00,17.60,64.20,14.30,10.40
Sattu Paratha,Bhindi Bhaji,,394.00,13.70,5.00,15.10,57.20,12.30,6.90
