,group,calories,total_fat (g),saturated_fat (g),cholesterol (mg),protein (g),carbohydrate (g),fiber (g),sugars (g),category1,category2
Veg Biryani,Staple,464,12.5,1.6,0,9.5,80.6,7.2,9.5,Vegetarian,NA
Pulao,Staple,368,8.8,1,0,6.5,66.6,3.5,4.5,Vegetarian,NA
Jeera Rice,Staple,353,7.9,1,0,6.4,64.6,1.4,2.2,Vegetarian,NA
Sabudana Khichdi,Staple,447,23.9,3.3,0,6.9,53.2,5.5,4.4,Vegetarian,NA
Lemon Rice,Staple,439,20.7,2.8,0,8.2,56.7,3.7,1.8,Vegetarian,NA
Khichdi,Staple,283,7.2,3.8,15,12.6,41.7,9.6,1.8,Vegetarian,NA
Butter Naan,Bread,343,16.7,10.1,42,7.4,40.4,1.5,1.9,Vegetarian,Milk
Aloo Paratha,Bread,215,6.8,4,16,5.7,33.5,4.9,1.7,Vegetarian,NA
Sattu Paratha,Bread,302,7.2,1.9,5,12.6,49.2,9.3,4.4,Vegetarian,NA
Kulcha,Bread,258,7.5,2.1,8,7.2,40.8,1.2,3.9,Vegetarian,NA
Puri,Bread,153,6.5,0.7,0,3.2,20.6,2.8,0.2,Vegetarian,NA
Plain Dosa,Bread,133,0.6,0.1,0,3.6,28.4,2.2,0.1,Vegetarian,NA
Masala Dosa,Bread,200,4.7,0.6,0,4.4,35.8,3.3,1.1,Vegetarian,NA
Roti,Bread,104,2,0.2,0,3.4,19.3,3.2,0.1,Vegetarian,NA
Paratha,Bread,194,7.8,1.3,0,5,26,4,0.3,Vegetarian,NA
Laccha Paratha,Bread,210,9.2,1.5,0,5,27,4,0.3,Vegetarian,NA
Bhakri,Bread,160,3,0.4,0,5,30,5,0.4,Vegetarian,NA
Bhatura,Bread,325,16,1.5,0,6,39,1,2,Vegetarian,NA
Kachori,Snack,230,12,1.5,0,5,26,2,1,Vegetarian,NA
Aloo Tikki,Snack,140,6,1,0,2,20,2,2,Vegetarian,NA
Dhokla,Snack,130,6,1,2,6,16,3,2,Vegetarian,Milk
Uttapam,Snack,160,6,1,0,5,22,3,3,Vegetarian,NA
Baati,Snack,270,16,9,35,4,29,4,0,Vegetarian,NA
Medu Vada,Snack,70,2,0,0,5,9,3,0,Vegetarian,NA
Misal Pav,Snack,330,8,2,0,12,52,10,5,Vegetarian,NA
Bhelpuri,Snack,215,8,1,0,6,32,5,6,Vegetarian,NA
Bonda,Snack,120,4,0,0,4,18,3,2,Vegetarian,NA
Pav Bhaji,Snack,400,16,6,22,11,56,9,11,Vegetarian,MIlk
Pakora,Snack,200,10,1,0,5,22,4,4,Vegetarian,NA
Upma,Snack,300,10,1,0,7,48,5,7,Vegetarian,NA
Vada Pao,Snack,350,18,2,0,8,42,4,3,Vegetarian,NA
Samosa,Snack,189,10,1,0,3,21,2,1,Vegetarian,NA
Idli,Snack,61,0,0,0,2,12,1,0,Vegetarian,NA
Poha,Snack,155,6,1,0,4,22,3,2,Vegetarian,NA
Veg Sandwhich,Snack,150,5,2,8,4,24,4,4,Vegetarian,NA
