food1,food2,food3,calories,total_fat,cholesterol,protein,carbohydrates,fiber,sugars
Veg Biryani,Aloo Gobi,,624.00,20.50,0.00,12.50,101.60,11.20,12.50
Veg Biryani,Veg Jhalfrezi,,579.00,17.50,0.00,14.50,95.60,12.20,15.50
Veg Biryani,Bhindi Bhaji,,556.00,19.00,0.00,12.00,88.60,10.20,12.00
Veg Biryani,Rajma ,,715.00,22.10,0.00,19.10,115.10,17.40,14.00
Veg Biryani,Dal Tadka,,684.00,20.50,0.00,19.50,110.60,15.20,11.50
Veg Biryani,Dal Makhani,,794.00,26.50,34.00,22.50,119.60,19.20,14.50
Veg Biryani,Sambar,,629.00,15.40,0.00,19.20,108.40,13.50,13.40
Veg Biryani,Chana Masala,,664.00,18.50,0.00,17.50,110.60,16.20,15.50
Veg Biryani,Chhola,,734.00,23.50,5.00,19.50,115.60,16.20,15.50
Veg Biryani,Palak with Potato,,644.00,20.50,0.00,13.50,105.60,11.20,11.50
Veg Biryani,Lauki Tamatar,,568.00,18.50,0.00,11.50,91.60,9.20,13.50
Veg Biryani,Bhindi Masala,,669.00,24.50,0.00,14.50,102.60,14.20,16.50
Veg Biryani,Jeera Aloo,,642.00,22.30,0.00,12.20,100.90,10.40,10.70
Veg Biryani,Aloo Matar,,660.00,20.50,0.00,14.50,107.60,12.20,13.50
Veg Biryani,Aloo Dam,,654.00,20.50,1.00,14.50,106.60,11.20,14.50
Veg Biryani,Rogan Josh,,944.00,48.50,121.00,39.50,86.60,9.20,11.50
Veg Biryani,Chicken Masala,,744.00,27.50,85.00,37.50,87.60,9.20,12.50
Veg Biryani,Tandoori Chicken,,754.00,29.50,115.00,40.50,84.60,8.20,11.50
Veg Biryani,Chicken Butte Masala,,824.00,34.50,122.00,37.50,91.60,10.20,14.50
Veg Biryani,Tangdi Kebab,,714.00,27.50,90.00,32.50,84.60,8.20,11.50
Veg Biryani,Chicken Korma,,832.00,36.00,122.00,36.30,91.10,9.00,14.10
Veg Biryani,Chicken Tikka Masala,,756.00,28.50,104.00,36.50,89.60,9.20,13.50
Veg Biryani,Chicken Curry,,785.00,29.50,99.00,40.50,90.60,9.20,14.50
Veg Biryani,Kadhai Chicken,,754.00,26.50,76.00,37.50,93.60,10.20,15.50
Veg Biryani,Murg Musallam,,842.00,30.50,141.00,56.50,87.60,8.20,13.50
Veg Biryani,Kudhi,,683.00,22.50,5.00,21.50,101.60,11.20,15.50
Veg Biryani,Kadhai Paneer,,704.00,30.50,35.00,17.50,92.60,10.20,15.50
Veg Biryani,Matar Paneer,,748.00,34.20,33.00,19.40,96.30,11.90,17.00
Veg Biryani,Malai Kofta,,744.00,28.50,38.00,20.50,104.60,11.20,13.50
